,genres,title,id,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,year
93591,"Adventure, Indie",Downfall,364390,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93592,Action,Men of Valor,411330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
93593,"Free to Play, Indie, Massively Multiplayer, Simulation, Sports, Strategy",Soccer Manager,438600,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,2016
93594,"Action, Adventure, Casual, Indie, Strategy",Super Bomb Rush! - Official Soundtrack,432580,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016
93595,"Action, Adventure",Assassin’s Creed® Chronicles: Russia,359600,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
93597,"Adventure, Indie",The Preposterous Awesomeness of Everything,435840,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93599,"Action, Indie",Level 22: Gary’s Misadventure - 2016 Edition,431290,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93600,Simulation,TS Marketplace: BDA 80t Bogie Bolster Wagon Pack,326044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
93601,Simulation,TS Marketplace: YLA Mullet Wagon Pack,326043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
93602,"Action, Adventure",Absence,440470,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
93603,"Adventure, Casual",Dream Catcher Chronicles: Manitou,432780,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
93607,"Adventure, Indie, Early Access",Drawn Story,440770,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93610,"Adventure, Indie, RPG, Simulation, Strategy",RPG Tycoon,314240,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,2016
93612,"Action, Adventure, Casual, Indie, RPG, Strategy, Early Access",LONE WOLF: Horizon,429020,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016
93613,"Adventure, Casual, Indie",SnakEscape,409440,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93614,"Adventure, Indie, RPG, Strategy",DROD RPG: Tendry's Tale,351330,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016
93615,Indie,Mosaic Maze,436950,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93616,"Action, Indie, Early Access",Critical Annihilation,339440,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93617,"Adventure, Indie, Strategy",Doors,395350,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016
93618,"Action, Indie, RPG",Defragmented,426170,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016
93619,Strategy,Nuts!: The Battle of the Bulge,431680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
93620,"Adventure, Indie",Break Chance Memento,432130,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93621,"Action, Adventure, Casual, Indie, Simulation, Strategy",Bubonic: Outbreak,322430,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2016
93622,"Action, Adventure, Casual, Indie, Simulation, Strategy, Early Access",Cat Simulator,393390,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2016
93623,"Free to Play, Indie, Massively Multiplayer, RPG, Strategy, Early Access",Tactical Craft Online,415860,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,2016
93624,"Adventure, Casual, Indie",Jumpix Jump,444320,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93625,"Action, Adventure, Indie",Side Quest,433570,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93626,"Action, Indie",ZHEROS,423270,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93627,"Action, Indie",Super Helmets on Fire DX Ultra Edition Plus Alpha,429200,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93628,"Casual, Simulation",My Name is Mayo,434260,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
93629,Simulation,Train Simulator: Feather River Canyon Route Add-On,376932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
93630,"Adventure, Indie",Downfall - Original Soundtrack,436790,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93631,"Adventure, Casual, Indie",Project Graviton,437880,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93632,"Action, Casual, Indie, Strategy",Control Craft 2,439930,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016
93633,"Adventure, Casual",Spakoyno: Back to the USSR 2.0,388120,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
93636,"Action, Indie",Cube Destroyer,440760,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93638,"Adventure, Casual, Indie, RPG",Army of Tentacles: (Not) A Cthulhu Dating Sim,427930,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016
93639,"Action, Adventure, Casual, Indie, RPG",Army of Tentacles: OST,428710,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016
93640,"Action, Adventure, Free to Play, Indie",Medusa's Labyrinth,436110,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016
93642,"Adventure, Casual, Indie",We Know the Devil,435300,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93643,"Adventure, Indie",Layers of Fear,391720,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93645,"Action, Indie, RPG, Strategy, Early Access",Worlds of Chaos: Invasion,436510,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016
93647,"Action, Casual, Indie",Dance Magic,394260,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93648,Action,Street Fighter V - Season 1 Character Pass,425110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
93649,Action,Street Fighter V,310950,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
93650,Action,Street Fighter V Original Soundtrack,444680,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
93651,"Casual, Indie",Flip,365510,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93652,"Action, Casual, Indie",Death Goat Soundtrack Vol. 2,444780,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93653,Simulation,FSX: Steam Edition - Rutan 61 Long EZ Add-On,379544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
93654,Simulation,FSX: Steam Edition - Velocity XL RG Add-On,379583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
93655,"Action, Indie",Gurgamoth,418360,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93656,"Indie, Simulation, Strategy",Influent DLC - Dansk [Learn Danish],435510,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2016
93658,"Action, Adventure, Casual, Indie, Simulation",Find Out,444410,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016
93660,"Casual, Indie",DARTHY,404850,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93661,"Action, Indie, Racing",Dub Dash,406940,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2016
93663,"Casual, Indie",EGO PROTOCOL,425760,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93664,"Casual, Indie, Strategy",Hyspherical 2,399530,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016
93666,"Action, Adventure, Indie, RPG, Simulation",Story Of the Survivor,440950,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2016
93667,"Action, Racing",TRON RUN/r,392000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016
93668,"Adventure, Indie, RPG",Learn Japanese To Survive! Hiragana Battle,438270,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016
93669,Simulation,TANE DLC: Chicago North Western GE Dash 9 44CW,404980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
93670,"Casual, Indie",Lamia's Game Room,434680,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93671,"Adventure, Casual, Indie, Early Access",Eclipsed,439740,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93673,"Adventure, Casual, Indie",Magic Flute,437710,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93675,"Adventure, Indie",Californium,402060,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93677,Casual,String Theory,402150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
93679,"Adventure, Indie, Simulation",Burokku Girls,443980,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016
93680,"Action, Casual, Indie, Simulation, Strategy",Toy Soldiers: Complete,262120,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2016
93682,"Action, Indie",UBERMOSH:BLACK,444940,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93684,"Casual, Indie",Brushwood Buddies,434820,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93685,"Action, Adventure, Massively Multiplayer, Early Access",H1Z1,433850,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016
93686,"Action, Free to Play, Massively Multiplayer, RPG",CABAL Online,253490,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2016
93687,RPG,Wanderjahr,434860,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
93688,"Action, Free to Play, Massively Multiplayer, RPG",Panzar: King Pack,440390,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2016
93689,Sports,Pro Basketball Manager 2016 - US Edition,412560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016
93690,Action,Prospekt,399120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
93691,"Adventure, Indie, RPG",Nusakana OST,441760,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016
93692,Indie,Wondershot,430190,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93693,Strategy,Codename Panzers Phase Two Soundtrack,443660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
93694,"Indie, Strategy",Galactic Civilizations III - Mercenaries Expansion Pack,411650,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016
93695,"Adventure, Casual",The Emerald Maiden: Symphony of Dreams,429610,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
93696,"Casual, Indie, Simulation",Bonsai,444160,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016
93697,"Indie, Simulation, Strategy",No Pineapple Left Behind,350090,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2016
93699,"Action, Casual",Zeus vs Monsters - Math Game for kids,444430,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
93700,"Casual, Indie, Simulation, Strategy",Plague Inc: Evolved,246620,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2016
93701,"Action, Indie, RPG",Dungelot: Shattered Lands,403940,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016
93702,Adventure,Danganronpa: Trigger Happy Havoc,413410,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
93703,"Action, Casual, Indie",Super Flippin' Phones,433490,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93704,Simulation,Train Simulator: BR Class 73 'Gatwick Express' Loco Add-On,258659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
93706,"Adventure, Casual",Small Town Terrors: Galdor's Bluff Collector's Edition,432760,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
93708,"Indie, Racing, Simulation, Sports",Super Night Riders,444000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,2016
93709,"Casual, Indie, Strategy, Early Access",Flobe,434530,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016
93710,"Indie, Racing, Simulation, Sports",Super Night Riders - Soundtrack and Art,445380,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,2016
93711,"Action, Indie",Astro Duel,429690,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93712,Indie,Pointless,442290,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93713,"Action, Indie, RPG",NeonXSZ,296010,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016
93714,"Action, Casual, Indie",The Renegades of Orion 2.0,434780,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93715,Strategy,Talisman: The Horus Heresy,358460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
93716,Strategy,Talisman: The Horus Heresy Soundtrack,442820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
93719,Strategy,Talisman: The Horus Heresy - Heroes &amp; Villains 2,436450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
93720,"Racing, Simulation",Car Mechanic Simulator 2015 - Mercedes-Benz,434910,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2016
93721,Indie,Plight of the Zombie,434070,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93722,Action,Mushihimesama Special Arrange Album,442100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
93723,"Casual, Indie, Racing",OutDrive,441870,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2016
93724,RPG,Ruzar - The Life Stone - Challenge Map,426060,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
93726,"Adventure, Casual, Indie",Drizzlepath: Genie,438340,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93727,Adventure,ALONE IN SPACE,444580,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
93728,"Action, Adventure, Indie",Mesel,440690,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93729,Simulation,Train Simulator: Shanghai Maglev Route Add-On,376933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
93731,"Action, Indie",One Upon Light,394830,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93737,Indie,BLACKHOLE: Original Soundtrack,445920,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93738,"Action, Casual, Indie, Simulation",ChaosTower,354280,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016
93739,Simulation,Bridge Constructor Stunts,419080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
93740,"Indie, Simulation, Strategy",Making History: The Great War - The Red Army,402660,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2016
93741,Action,Tom Clancy's Rainbow Six® Siege - Platinum Weapon Skin,417465,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
93742,"Adventure, Indie, RPG",Tales of Maj'Eyal - Embers of Rage,404250,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016
93743,"Action, Adventure, Indie",Tic-Toc-Tower - Teslagrad DLC,438810,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93744,Simulation,FSX: Steam Edition - Rutan Q200 Add-On,379576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
93745,Simulation,FSX: Steam Edition - ERCO Ercoupe 415C Add-On,379582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
93746,Simulation,FSX: Steam Edition - Globe Swift GC1-A Add-On,379543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
93747,"Action, Casual, Indie",1943 Megami Strike,440810,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93748,"Action, Indie, Early Access",Just Death,336210,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93749,"Action, Adventure, Indie",The Flame in the Flood,318600,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93750,Strategy,Hitman GO: Definitive Edition,427820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016
93751,"Indie, RPG, Strategy",Shadowrun Chronicles: Missions,435190,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016
93752,"Indie, RPG, Strategy",Shadowrun Chronicles Infected: Missions,435200,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016
93754,"Action, Adventure, Casual, Indie, RPG",Asteroid Bounty Hunter,444220,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016
93755,"Adventure, Indie",ComixPlay #1: The Endless Incident,425040,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93756,"Action, Adventure",Shadwen,425210,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
93758,"Action, Indie, Simulation, Strategy",Battlevoid: Harbinger,396480,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2016
93759,Simulation,TS Marketplace: DB Donnerbüchsen Coaches Pack,326023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
93760,"Action, Indie, Simulation, Strategy",Battlevoid: Harbinger OST,411030,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2016
93771,"Indie, Racing",Krautscape,268360,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2016
93772,"Indie, Simulation, Strategy, Early Access",The Kindred,373410,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2016
93773,RPG,Disgaea PC / 魔界戦記ディスガイア PC,405900,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
93776,RPG,Disgaea PC / 魔界戦記ディスガイア PC - Digital Art Book / デジタル・アートブック,439540,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
93778,RPG,軒轅劍外傳穹之扉音樂精選集(Sound Collection of Xuan-Yuan Sword EX：The Gate of Firmament),441940,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
93779,RPG,軒轅劍外傳穹之扉(The Gate of Firmament),427030,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
93780,"Casual, Indie",Gardenarium,423750,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93781,"Simulation, Strategy",Atlantic Fleet,420440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2016
93782,"Action, Simulation",X Rebirth: Home of Light,415800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
93783,"Action, Casual, Indie",Cat on a Diet,447890,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93784,"Action, Indie",Sprinter,442260,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93787,"Action, Indie",Machine Gun Train Run,428530,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93788,"Action, Adventure, Indie, Simulation",Bear Simulator,395850,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016
93789,"Adventure, Casual, Free to Play, Indie, Massively Multiplayer, RPG, Strategy",Shakes and Fidget,438040,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,2016
93790,"Action, Adventure, Casual, Indie",The Haunting of Billy,445170,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93791,"Action, Adventure, Casual, Indie",Adam and Eve: The Game - Chapter 1,443530,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93792,"Action, Casual, Indie",Huenison AmigaOS 4,434180,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2013
93793,"Indie, RPG, Strategy, Early Access",Era of Majesty,412130,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016
93794,"Adventure, Casual, Indie, RPG",Official Guide - Vagrant Hearts,392440,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016
93796,"Adventure, Simulation",Let's Eat! Seaside Cafe,444950,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
93797,"Casual, Indie, Simulation",Lucy -The Eternity She Wished For-,430960,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016
93799,"Adventure, Indie",Alone K.W.,442000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93800,"Adventure, Indie, RPG, Strategy",Balrum,424250,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016
93802,"Action, Adventure, Casual, Indie, RPG, Strategy",Infinity Saga,448750,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016
93803,"Indie, Simulation, Strategy",Life in Bunker,401690,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2016
93804,Action,Banzai Escape,440340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
93805,"Adventure, Casual, Indie",Recourse,413540,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93806,"Action, Indie",That Dam Level redux,434970,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93807,"Action, Adventure, Indie",Lost Bros,434390,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93809,"Adventure, Casual, Indie",Echo Tokyo - Wallpapers,372810,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93810,"Action, Indie",SUPERHOT,322500,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93811,Simulation,TANE DLC: NS SD60E First Responders,447480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
93812,"Casual, Indie, Strategy",Color Chemistry,431860,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016
93813,"Action, Indie",Tross,443850,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93814,"Casual, Indie, RPG, Simulation, Sports, Strategy",Age of Gladiators,442500,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,2016
93815,Casual,Alice's Patchwork,444280,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
93816,Indie,Forgotten Ball,434700,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93817,"Action, Indie",Bezier,381320,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93818,"Adventure, Indie, RPG",The Count Lucanor,440880,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016
93819,Simulation,TS Marketplace: YQA Parr Wagon Pack,326047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
93820,"Action, Adventure, Indie",Better Late Than DEAD,352950,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93821,"Action, Adventure, Indie",Space Overlords,407830,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93822,"Adventure, Casual, Indie",Draw a Stickman: EPIC - Friend's Journey,435570,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93823,"Adventure, Indie",The Guest,402040,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93824,"Action, Adventure, Indie, Racing",Trigger Runners,355560,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2016
93825,"Adventure, Indie, RPG, Strategy",Hard West: Scars of Freedom DLC,441700,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2016
93826,"Action, Indie",Blue Rider,402340,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
93827,"Casual, Simulation, Strategy",Campgrounds: The Endorus Expedition Collector's Edition,450150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2016
93829,"Action, Adventure, Indie",The Aquatic Adventure of the Last Human - Deluxe Extras,441710,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
